2353
0.25
0.0,0.0,0.0
47.25,50.25,29.25
29.4916666667,43.7423913043,0.4293478261,1.0877193069
17.2263071895,9.7066993464,26.4125816993,0.8294832409
22.2802089643,38.7193872401,22.5615536039,2.6436253937
18.1303006939,2.6715497301,18.1443716268,2.1309199213
24.171875,2.40625,22.12109375,0.6203504909
12.6715225564,24.1358082707,13.445018797,1.2566500408
19.1046747967,40.5203252033,11.5193089431,0.971752145
9.1185897436,8.0291666667,9.8730769231,1.4276070143
40.4109520639,3.1153462051,27.0580892144,1.4096905375
40.1745576477,34.8516641434,1.8249574206,4.2880343403
13.2214285714,37.1125,21.5214285714,0.8052915663
40.4959842789,11.0850136705,1.8276657553,1.7605914196
21.5835561497,22.4338235294,4.621657754,1.1173802898
21.5047658863,35.7377090301,17.4204849498,1.7733353432
31.4773792984,38.1039857589,13.7034126433,2.2062650936
43.2903846154,43.2634615385,1.3057692308,0.6235647995
25,31.7375,1.125,0.4209725752
35.4894911504,10.3097345133,24.7198561947,1.499569559
39.4825234098,7.5475863739,3.2485873426,2.2606025198
15.0088141026,15.1266025641,1.4783653846,1.0518698417
8.4443108974,12.5456730769,8.2327724359,1.3252729553
18.4280373111,22.1235353068,17.0332639531,2.2955818823
20.6928438662,19.0785315985,28.7309479554,1.001139428
31.0752913328,24.5240349599,14.5377822287,2.171754099
24.4068627451,1.5147058824,1.3606442577,1.3861488729
41.6531385281,42.7310606061,28.9107142857,0.951585463
17.006779661,15.0703389831,1.7377118644,1.3007519215
39.6875,4.565,25.78,0.7198529779
13.490819209,32.3194444444,25.5513182674,1.5822871865
9.0067381738,25.1167491749,18.5199394939,1.5023291706
11.0889945652,8.3889266304,15.6433423913,1.4002419256
43.0157894737,44.6447368421,9.6513157895,1.1233239138
37.9185918592,28.722359736,23.1358635864,1.8928161459
9.23671875,20.708203125,2.85859375,1.3365046176
30.0952380952,24.1666666667,20.0297619048,0.5390887089
18.6808419244,10.985395189,18.8438573883,1.6314037854
22.8673625255,32.2604378819,28.124490835,1.2235009276
44.6976495726,17.8707264957,16.1121794872,0.7585294136
12.693275154,2.3125427789,19.4413928816,1.7597887792
3.7074275362,30.4266304348,20.0615942029,1.0097491578
6.4469026549,42.4446902655,9.4457964602,0.9446696266
37.4596153846,41.8019230769,0.2134615385,0.6235647995
27.0692204301,34.1122311828,1.8933691756,1.6086634846
28.585982659,35.8200867052,5.5036127168,0.8641567102
12.2599206349,35.2637471655,3.5528628118,1.873886716
12.5784883721,22.2441041598,25.3839665902,2.8346279969
37.2165934755,2.9022898369,15.1055520703,1.4379040691
17.6486486486,17.3108108108,0.5,0.65111002
40.0529026217,38.672752809,8.5538389513,1.258222821
4.7801683262,25.161628734,16.8984708393,1.9888529117
9.0520323213,2.9376836435,24.1054113614,1.5616572423
13.2417120799,44.2644187103,18.9020208901,1.6014236769
23.648364486,36.8382009346,1.4357476636,1.1687592523
27.685483871,21.4240591398,25.2177419355,1.1153849637
